year,month,day,close,volume,start,high,low
2019,10,18,"295,500","263,628","301,500","305,000","295,500"
2019,10,17,"304,000","124,636","306,500","307,000","303,000"
2019,10,16,"303,000","169,910","303,500","304,500","301,000"
2019,10,15,"303,000","127,670","304,000","305,500","302,000"
2019,10,14,"304,000","146,205","305,000","306,500","302,000"
2019,10,11,"302,500","182,446","300,500","303,500","299,000"
2019,10,10,"297,000","224,500","294,000","297,500","292,500"
2019,10,8,"295,500","205,540","290,000","296,500","289,500"
2019,10,7,"289,000","284,855","294,500","297,000","286,500"
2019,10,4,"296,000","167,424","297,500","302,000","296,000"
2019,10,2,"296,500","234,302","303,500","303,500","296,500"
2019,10,1,"304,500","190,739","299,000","308,500","298,000"
2019,9,30,"299,500","214,811","300,000","302,500","297,500"
2019,9,27,"301,500","273,366","303,500","304,500","301,000"
2019,9,26,"304,500","239,641","306,500","307,500","303,500"
2019,9,25,"305,000","962,072","315,000","315,000","304,000"
2019,9,24,"327,000","142,221","322,500","327,000","322,500"
2019,9,23,"323,500","174,354","328,500","328,500","323,000"
2019,9,20,"329,000","158,169","327,500","329,000","326,000"
2019,9,19,"327,500","108,529","325,000","328,500","324,500"
2019,9,18,"325,500","100,339","328,000","328,500","324,500"
2019,9,17,"327,500","227,963","324,000","327,500","320,500"
2019,9,16,"324,500","319,049","321,000","326,500","318,500"
2019,9,11,"324,000","244,506","322,000","327,000","321,500"
2019,9,10,"322,000","150,462","325,500","328,000","320,000"
2019,9,9,"325,000","128,902","328,000","330,500","325,000"
2019,9,6,"328,500","111,619","326,000","330,000","326,000"
2019,9,5,"325,000","170,296","322,500","328,000","321,000"
2019,9,4,"321,500","137,210","318,500","321,500","318,000"
2019,9,3,"322,000","98,010","321,500","323,500","320,000"
2019,9,2,"321,500","227,172","322,000","324,000","315,500"
2019,8,30,"330,500","115,040","329,000","331,000","327,500"
2019,8,29,"325,000","70,201","325,500","327,500","322,500"
2019,8,28,"324,000","107,317","324,000","329,000","323,000"
2019,8,27,"323,000","190,393","327,000","331,500","321,500"
2019,8,26,"323,500","179,599","329,500","332,500","322,500"
2019,8,23,"329,500","178,100","316,000","332,500","316,000"
2019,8,22,"320,000","165,953","327,500","332,000","320,000"
2019,8,21,"328,000","114,378","324,500","330,000","323,500"
2019,8,20,"324,000","75,449","319,500","325,000","319,000"
2019,8,19,"321,000","84,033","321,000","322,000","318,000"
2019,8,16,"320,000","85,005","320,000","320,500","315,000"
2019,8,14,"323,500","192,588","313,500","323,500","311,500"
2019,8,13,"309,000","119,987","312,000","314,500","308,500"
2019,8,12,"314,000","84,452","315,500","317,000","313,000"
2019,8,9,"317,000","86,491","321,000","322,500","317,000"
2019,8,8,"318,000","182,984","320,000","322,000","314,000"
2019,8,7,"315,500","164,132","309,500","317,500","309,000"
2019,8,6,"310,000","287,938","301,000","317,500","301,000"
2019,8,5,"315,500","234,602","328,000","330,000","315,500"
2019,8,2,"331,500","151,336","325,000","333,000","325,000"
2019,8,1,"332,500","129,913","338,500","339,000","332,500"
2019,7,31,"337,500","185,273","330,000","342,000","330,000"
2019,7,30,"334,500","95,024","328,000","336,000","328,000"
2019,7,29,"333,000","168,075","333,500","333,500","325,000"
